brand,phone_name,phone_price,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 6,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 6 Plus,156,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P8 Lite,141,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P8 Max,193,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 7i,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei GX8,167,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nexus 6P,311,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 5X,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 5,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 8,226,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 5S,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y6,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P9 Lite,142,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P9 Plus,987,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P9,217,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 5C,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei G9 Lite,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y3 II,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Note 8,195,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova Plus,331,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 6X,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 6,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 9,314,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 9 Pro,312,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Magic,282,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P9 Lite 2017,178,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P8 Lite 2017,162,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor V9,195,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P10 Plus,248,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P10,259,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P10 Lite,120,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 7 Plus,139,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y7,80,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova Young,77,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 2 Plus,184,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 2,189,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y7 Prime,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 9,169,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 7,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y6 2017,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor V9 Play,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 2i,297,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Maimang 6,202,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 10 Lite,211,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 10 Pro,307,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 10,248,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 7x,192,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 6C Pro,157,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor V10,238,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 9 Lite,156,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 7s,152,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Nova 2s,226,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P Smart,162,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 7C,157,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 3e,210,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P20,298,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P20 Pro,397,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P20 Lite,188,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 8,176,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 8 Plus,175,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 7A,107,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y7 Prime 2018,155,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 8e,195,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 10,246,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y6 2018,112,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 7S,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y5 2018,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Play,226,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 3i,236,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Note 10,329,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P smart+,183,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20 Lite,154,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 8e Lite,91,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8x Max,227,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8x,187,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Maimang 7,258,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y9 (2019),264,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 8C,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy Max,240,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9 Plus,210,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20,391,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20X,531,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Mate 20 Pro,534,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor Magic 2,333,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor 10 Lite,159,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Enjoy 9,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei nova 4,298,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Y Max,178,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei Honor View 20,426,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei,Huawei P Smart 2019,145,,,,,,,,,,,,,,,,,,,,,,,,,,
